time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-09T18:17:50.130Z,37.586834,-121.8330002,7.2,1.31,md,10,88,0.03679,0.05,nc,nc73325726,2020-01-09T18:19:26.959Z,"5km ESE of Sunol, CA",earthquake,0.35,0.58,0.14,8,automatic,nc,nc
2020-01-09T17:57:31.450Z,33.6551667,-116.7081667,14.58,0.82,ml,25,93,0.05608,0.16,ci,ci39030311,2020-01-09T18:01:18.519Z,"10km S of Idyllwild, CA",earthquake,0.43,0.48,0.133,18,automatic,ci,ci
2020-01-09T17:33:59.696Z,60.2643,-153.1628,26.9,1.7,ml,,,,0.67,ak,ak020f65ot0,2020-01-09T17:54:49.208Z,"33km SW of Redoubt Volcano, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-01-09T17:28:33.552Z,65.0887,-148.6348,24.8,1.3,ml,,,,0.62,ak,ak020f64kdx,2020-01-09T17:54:48.596Z,"39km NW of Ester, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-01-09T17:28:16.130Z,36.0141678,-120.5756683,3.28,1.09,md,16,114,0.03202,0.06,nc,nc73325721,2020-01-09T17:44:02.058Z,"18km NW of Parkfield, CA",earthquake,0.38,0.76,0.1,8,automatic,nc,nc
2020-01-09T17:26:59.029Z,62.8398,-149.0988,51.2,1.7,ml,,,,0.98,ak,ak020f646vk,2020-01-09T17:54:47.995Z,"61km S of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-09T17:20:16.030Z,47.607,-121.835333333333,15.44,2.69,ml,39,51,,0.16,uw,uw61566476,2020-01-09T18:08:54.974Z,"5km NE of Fall City, Washington",earthquake,0.22,0.31,0.253906900267982,19,reviewed,uw,uw
2020-01-09T17:15:03.997Z,-56.0643,-26.7223,35,5.4,mb,,81,5.873,0.72,us,us70006x0w,2020-01-09T17:36:34.046Z,"76km NNE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,11.7,2,0.069,71,reviewed,us,us
2020-01-09T17:09:15.170Z,63.4785,-151.1857,1.7,1.4,ml,,,,0.71,ak,ak020f60g9g,2020-01-09T17:54:47.438Z,"111km W of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-01-09T17:03:41.406Z,-20.4429,-177.5681,498.87,4.5,mb,,92,4.934,0.91,us,us70006wyw,2020-01-09T17:20:41.040Z,"120km E of Ndoi Island, Fiji",earthquake,13.6,9.4,0.043,162,reviewed,us,us
2020-01-09T16:50:59.828Z,61.3372,-150.1478,37.7,1.3,ml,,,,0.52,ak,ak020f5nwji,2020-01-09T16:54:14.079Z,"18km NW of Anchorage, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-01-09T16:50:47.610Z,38.8134995,-122.8083344,0.99,1.66,md,25,62,0.009974,0.03,nc,nc73325711,2020-01-09T17:11:03.540Z,"6km NW of The Geysers, CA",earthquake,0.19,0.29,0.08,9,automatic,nc,nc
2020-01-09T16:50:43.460Z,35.66,-117.465,6.34,0.96,ml,17,83,0.06433,0.26,ci,ci39030271,2020-01-09T16:54:28.123Z,"13km SSW of Searles Valley, CA",earthquake,0.58,1.57,0.13,13,automatic,ci,ci
2020-01-09T16:49:20.326Z,62.9301,-149.2865,72.8,0.9,ml,,,,0.35,ak,ak020f5ngxy,2020-01-09T17:54:46.505Z,"54km SSW of Cantwell, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2020-01-09T16:46:31.730Z,34.2896667,-116.9178333,8.64,2.66,ml,81,23,0.02741,0.14,ci,ci39030263,2020-01-09T17:48:38.850Z,"5km N of Big Bear Lake, CA",earthquake,0.14,0.36,0.147,25,automatic,ci,ci
2020-01-09T16:40:49.534Z,64.7435,-148.0323,37.8,0.2,ml,,,,1.16,ak,ak020f5lqlf,2020-01-09T16:54:13.492Z,"11km S of Ester, Alaska",earthquake,,0.9,,,automatic,ak,ak
